from_domain,from_table,from_column,to_domain,to_table,to_column,business_label
Operazioni sul campo,activity_approval,operator_activity_id,Operazioni sul campo,operator_activity,id,activity_approval.operator_activity_id collega a operator_activity (operator_activity)
Operazioni sul campo,activity_approval,reviewer_user_id,Accessi e permessi,application_users,id,activity_approval.reviewer_user_id collega a application_users (reviewer_user)
Utenze e anagrafiche,ana_audit_log,changed_by_user_id,Accessi e permessi,application_users,id,ana_audit_log.changed_by_user_id collega a application_users (changed_by_user)
Utenze e anagrafiche,ana_audit_log,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_audit_log.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_companies,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_companies.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_documents,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_documents.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_import_job_items,job_id,Utenze e anagrafiche,ana_import_jobs,id,ana_import_job_items.job_id collega a ana_import_jobs (job)
Utenze e anagrafiche,ana_import_job_items,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_import_job_items.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_import_jobs,requested_by_user_id,Accessi e permessi,application_users,id,ana_import_jobs.requested_by_user_id collega a application_users (requested_by_user)
Utenze e anagrafiche,ana_payment_notices,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_payment_notices.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_person_snapshots,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_person_snapshots.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_persons,subject_id,Utenze e anagrafiche,ana_subjects,id,ana_persons.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,ana_xlsx_import_batches,requested_by_user_id,Accessi e permessi,application_users,id,ana_xlsx_import_batches.requested_by_user_id collega a application_users (requested_by_user)
Utenze e anagrafiche,anpr_check_log,subject_id,Utenze e anagrafiche,ana_subjects,id,anpr_check_log.subject_id collega a ana_subjects (subject)
Utenze e anagrafiche,anpr_sync_config,updated_by_user_id,Accessi e permessi,application_users,id,anpr_sync_config.updated_by_user_id collega a application_users (updated_by_user)
Operazioni sul campo,attachment,uploaded_by_user_id,Accessi e permessi,application_users,id,attachment.uploaded_by_user_id collega a application_users (uploaded_by_user)
Utenze e anagrafiche,bonifica_user_staging,matched_subject_id,Utenze e anagrafiche,ana_subjects,id,bonifica_user_staging.matched_subject_id collega a ana_subjects (matched_subject)
Utenze e anagrafiche,bonifica_user_staging,reviewed_by,Accessi e permessi,application_users,id,bonifica_user_staging.reviewed_by collega a application_users (reviewed_by)
Catasto e GIS catastale,capacitas_anagrafica_history_import_jobs,credential_id,Catasto e GIS catastale,capacitas_credentials,id,capacitas_anagrafica_history_import_jobs.credential_id collega a capacitas_credentials (credential)
Catasto e GIS catastale,capacitas_anagrafica_history_import_jobs,requested_by_user_id,Accessi e permessi,application_users,id,capacitas_anagrafica_history_import_jobs.requested_by_user_id collega a application_users (requested_by_user)
Catasto e GIS catastale,capacitas_incass_sync_jobs,credential_id,Catasto e GIS catastale,capacitas_credentials,id,capacitas_incass_sync_jobs.credential_id collega a capacitas_credentials (credential)
Catasto e GIS catastale,capacitas_incass_sync_jobs,requested_by_user_id,Accessi e permessi,application_users,id,capacitas_incass_sync_jobs.requested_by_user_id collega a application_users (requested_by_user)
Catasto e GIS catastale,capacitas_particelle_sync_jobs,credential_id,Catasto e GIS catastale,capacitas_credentials,id,capacitas_particelle_sync_jobs.credential_id collega a capacitas_credentials (credential)
Catasto e GIS catastale,capacitas_particelle_sync_jobs,requested_by_user_id,Accessi e permessi,application_users,id,capacitas_particelle_sync_jobs.requested_by_user_id collega a application_users (requested_by_user)
Catasto e GIS catastale,capacitas_terreni_sync_jobs,credential_id,Catasto e GIS catastale,capacitas_credentials,id,capacitas_terreni_sync_jobs.credential_id collega a capacitas_credentials (credential)
Catasto e GIS catastale,capacitas_terreni_sync_jobs,requested_by_user_id,Accessi e permessi,application_users,id,capacitas_terreni_sync_jobs.requested_by_user_id collega a application_users (requested_by_user)
Catasto e GIS catastale,cat_ade_alignment_audit_changes,audit_run_id,Catasto e GIS catastale,cat_ade_alignment_audit_runs,id,cat_ade_alignment_audit_changes.audit_run_id collega a cat_ade_alignment_audit_runs (audit_run)
Catasto e GIS catastale,cat_ade_alignment_audit_changes,comune_id,Catasto e GIS catastale,cat_comuni,id,cat_ade_alignment_audit_changes.comune_id collega a cat_comuni (comune)
Catasto e GIS catastale,cat_ade_alignment_audit_changes,particella_id,Catasto e GIS catastale,cat_particelle,id,cat_ade_alignment_audit_changes.particella_id collega a cat_particelle (particella)
Catasto e GIS catastale,cat_ade_alignment_audit_runs,ade_run_id,Catasto e GIS catastale,cat_ade_sync_runs,id,cat_ade_alignment_audit_runs.ade_run_id collega a cat_ade_sync_runs (ade_run)
Catasto e GIS catastale,cat_ade_alignment_audit_runs,triggered_by_user_id,Accessi e permessi,application_users,id,cat_ade_alignment_audit_runs.triggered_by_user_id collega a application_users (triggered_by_user)
Catasto e GIS catastale,cat_ade_particelle,source_run_id,Catasto e GIS catastale,cat_ade_sync_runs,id,cat_ade_particelle.source_run_id collega a cat_ade_sync_runs (source_run)
Catasto e GIS catastale,cat_ade_sync_runs,created_by,Accessi e permessi,application_users,id,cat_ade_sync_runs.created_by collega a application_users (created_by)
Catasto e GIS catastale,cat_aliquote,schema_id,Catasto e GIS catastale,cat_schemi_contributo,id,cat_aliquote.schema_id collega a cat_schemi_contributo (schema)
Catasto e GIS catastale,cat_anomalie,assigned_to,Accessi e permessi,application_users,id,cat_anomalie.assigned_to collega a application_users (assigned_to)
Catasto e GIS catastale,cat_anomalie,particella_id,Catasto e GIS catastale,cat_particelle,id,cat_anomalie.particella_id collega a cat_particelle (particella)
Catasto e GIS catastale,cat_anomalie,utenza_id,Catasto e GIS catastale,cat_utenze_irrigue,id,cat_anomalie.utenza_id collega a cat_utenze_irrigue (utenza)
Catasto e GIS catastale,cat_capacitas_grid_rows,occupancy_id,Catasto e GIS catastale,cat_consorzio_occupancies,id,cat_capacitas_grid_rows.occupancy_id collega a cat_consorzio_occupancies (occupancy)
Catasto e GIS catastale,cat_capacitas_grid_rows,snapshot_id,Catasto e GIS catastale,cat_capacitas_grid_snapshots,id,cat_capacitas_grid_rows.snapshot_id collega a cat_capacitas_grid_snapshots (snapshot)
Catasto e GIS catastale,cat_capacitas_grid_rows,unit_id,Catasto e GIS catastale,cat_consorzio_units,id,cat_capacitas_grid_rows.unit_id collega a cat_consorzio_units (unit)
Catasto e GIS catastale,cat_capacitas_intestatari,certificato_id,Catasto e GIS catastale,cat_capacitas_certificati,id,cat_capacitas_intestatari.certificato_id collega a cat_capacitas_certificati (certificato)
Catasto e GIS catastale,cat_capacitas_intestatari,subject_id,Utenze e anagrafiche,ana_subjects,id,cat_capacitas_intestatari.subject_id collega a ana_subjects (subject)
Catasto e GIS catastale,cat_capacitas_terreni_rows,unit_id,Catasto e GIS catastale,cat_consorzio_units,id,cat_capacitas_terreni_rows.unit_id collega a cat_consorzio_units (unit)
Catasto e GIS catastale,cat_capacitas_terreno_details,terreno_row_id,Catasto e GIS catastale,cat_capacitas_terreni_rows,id,cat_capacitas_terreno_details.terreno_row_id collega a cat_capacitas_terreni_rows (terreno_row)
Catasto e GIS catastale,cat_consorzio_occupancies,segment_id,Catasto e GIS catastale,cat_consorzio_unit_segments,id,cat_consorzio_occupancies.segment_id collega a cat_consorzio_unit_segments (segment)
Catasto e GIS catastale,cat_consorzio_occupancies,subject_id,Utenze e anagrafiche,ana_subjects,id,cat_consorzio_occupancies.subject_id collega a ana_subjects (subject)
Catasto e GIS catastale,cat_consorzio_occupancies,unit_id,Catasto e GIS catastale,cat_consorzio_units,id,cat_consorzio_occupancies.unit_id collega a cat_consorzio_units (unit)
Catasto e GIS catastale,cat_consorzio_occupancies,utenza_id,Catasto e GIS catastale,cat_utenze_irrigue,id,cat_consorzio_occupancies.utenza_id collega a cat_utenze_irrigue (utenza)
Catasto e GIS catastale,cat_consorzio_unit_segments,unit_id,Catasto e GIS catastale,cat_consorzio_units,id,cat_consorzio_unit_segments.unit_id collega a cat_consorzio_units (unit)
Catasto e GIS catastale,cat_consorzio_units,comune_id,Catasto e GIS catastale,cat_comuni,id,cat_consorzio_units.comune_id collega a cat_comuni (comune)
Catasto e GIS catastale,cat_consorzio_units,particella_id,Catasto e GIS catastale,cat_particelle,id,cat_consorzio_units.particella_id collega a cat_particelle (particella)
Catasto e GIS catastale,cat_consorzio_units,source_comune_id,Catasto e GIS catastale,cat_comuni,id,cat_consorzio_units.source_comune_id collega a cat_comuni (source_comune)
