source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
13_1_1,operator_activity,3,,28_1D_1L:13_1_1 | 28_1D_2L:13_1_1,,,,,ambiguous_subdistrict | operator_activity
14_1_11,operator_activity,3,,28_1D_1L:14_1_11 | 28_1D_2L:14_1_11,,,,,ambiguous_subdistrict | operator_activity
14_1_11_E,operator_activity,3,,,28_1D_1L:14_1_11 | 28_1D_2L:14_1_11,,,,ambiguous_subdistrict | operator_activity
14_1_1_A,operator_activity,3,,,28_1D_1L:14_1_1 | 28_1D_2L:14_1_1,,,,ambiguous_subdistrict | operator_activity
14_1_2,operator_activity,3,,28_1D_1L:14_1_2 | 28_1D_2L:14_1_2,,,,,ambiguous_subdistrict | operator_activity
14_1_5,dismissed_point,3,,28_1D_1L:14_1_5 | 28_1D_2L:14_1_5,,,,,ambiguous_subdistrict | dismissed_point
14_1_6,dismissed_point,3,,28_1D_1L:14_1_6 | 28_1D_2L:14_1_6,,,,,ambiguous_subdistrict | dismissed_point
14_1_6_C,operator_activity,3,,,28_1D_1L:14_1_6 | 28_1D_2L:14_1_6,,,,ambiguous_subdistrict | operator_activity
14_1_7,operator_activity,3,,28_1D_1L:14_1_7 | 28_1D_2L:14_1_7,,,,,ambiguous_subdistrict | operator_activity
14_1_7_C,operator_activity,3,,,28_1D_1L:14_1_7 | 28_1D_2L:14_1_7,,,,ambiguous_subdistrict | operator_activity
14_1_7_D,operator_activity,3,,,28_1D_1L:14_1_7 | 28_1D_2L:14_1_7,,,,ambiguous_subdistrict | operator_activity
14_1_9,operator_activity,3,,28_1D_1L:14_1_9 | 28_1D_2L:14_1_9,,,,,ambiguous_subdistrict | operator_activity
14_1_9_D,operator_activity,3,,,28_1D_1L:14_1_9 | 28_1D_2L:14_1_9,,,,ambiguous_subdistrict | operator_activity
15_111_4,dismissed_point,3,,,,,,,dismissed_point
15_11_1,operator_activity,3,,28_1D_1L:15_11_1 | 28_1D_2L:15_11_1,,,,,ambiguous_subdistrict | operator_activity
15_11_1_A,operator_activity,3,,,28_1D_1L:15_11_1 | 28_1D_2L:15_11_1,,,,ambiguous_subdistrict | operator_activity
15_11_2,operator_activity,3,,28_1D_1L:15_11_2 | 28_1D_2L:15_11_2,,,,,ambiguous_subdistrict | operator_activity
15_11_4-E,operator_activity,3,,,,,,,operator_activity
15_1_1,operator_activity,3,,28_1D_1L:15_1_1 | 28_1D_2L:15_1_1,,,,,ambiguous_subdistrict | operator_activity
15_1_5,operator_activity,3,,28_1D_1L:15_1_5 | 28_1D_2L:15_1_5,,,,,ambiguous_subdistrict | operator_activity
15_1_6-A,operator_activity,3,,,,,,,operator_activity
15_1_9_D,operator_activity,3,,,28_1D_1L:15_1_9 | 28_1D_2L:15_1_9,,,,ambiguous_subdistrict | operator_activity
15_1_9_E,operator_activity,3,,,28_1D_1L:15_1_9 | 28_1D_2L:15_1_9,,,,ambiguous_subdistrict | operator_activity
17_1_1,operator_activity,3,,28_1D_1L:17_1_1 | 28_1D_2L:17_1_1,,,,,ambiguous_subdistrict | operator_activity
17_1_2,operator_activity,3,,28_1D_1L:17_1_2 | 28_1D_2L:17_1_2,,,,,ambiguous_subdistrict | operator_activity
18_1_1,operator_activity,3,,28_1D_1L:18_1_1 | 28_1D_2L:18_1_1,,,,,ambiguous_subdistrict | operator_activity
18_1_11_H,operator_activity,3,,,28_1D_1L:18_1_11 | 28_1D_2L:18_1_11,,,,ambiguous_subdistrict | operator_activity
18_1_11_I,operator_activity,3,,,28_1D_1L:18_1_11 | 28_1D_2L:18_1_11,,,,ambiguous_subdistrict | operator_activity
18_1_16_M,operator_activity,3,,,28_1D_1L:18_1_16 | 28_1D_2L:18_1_16,,,,ambiguous_subdistrict | operator_activity
18_1_18_O,operator_activity,3,,,28_1D_1L:18_1_18 | 28_1D_2L:18_1_18,,,,ambiguous_subdistrict | operator_activity
18_1_2,operator_activity,3,,28_1D_1L:18_1_2 | 28_1D_2L:18_1_2,,,,,ambiguous_subdistrict | operator_activity
18_1_3,operator_activity,3,,28_1D_1L:18_1_3 | 28_1D_2L:18_1_3,,,,,ambiguous_subdistrict | operator_activity
18_1_8,operator_activity,3,,28_1D_1L:18_1_8 | 28_1D_2L:18_1_8,,,,,ambiguous_subdistrict | operator_activity
18_1_8_D,operator_activity,3,,,28_1D_1L:18_1_8 | 28_1D_2L:18_1_8,,,,ambiguous_subdistrict | operator_activity
18_1_8_H,operator_activity,3,,,28_1D_1L:18_1_8 | 28_1D_2L:18_1_8,,,,ambiguous_subdistrict | operator_activity
19_11_16,meter_reading,3,,,,,,,
19_11_17,meter_reading,3,,,,,,,
19_1_1,meter_reading,3,,28_1D_1L:19_1_1 | 28_1D_2L:19_1_1,,,,,ambiguous_subdistrict
19_1_1_A,operator_activity,3,,,28_1D_1L:19_1_1 | 28_1D_2L:19_1_1,,,,ambiguous_subdistrict | operator_activity
19_1_1_B,operator_activity,3,,,28_1D_1L:19_1_1 | 28_1D_2L:19_1_1,,,,ambiguous_subdistrict | operator_activity
19_1_2,meter_reading,3,,28_1D_1L:19_1_2 | 28_1D_2L:19_1_2,,,,,ambiguous_subdistrict
19_1_2_C,operator_activity,3,,,28_1D_1L:19_1_2 | 28_1D_2L:19_1_2,,,,ambiguous_subdistrict | operator_activity
